question,rank,chunk_id,source,file,text
What causes positive customer reviews?,9,33187,,,Avaliação positiva
What causes positive customer reviews?,10,26610,,,"Relogio
Qualidade deixa a desejar pelo preço"
How can customer satisfaction be improved?,1,38644,,,Cliente muito satisfeito
How can customer satisfaction be improved?,2,8821,,,"Ótima
Satisfação ao cliente"
How can customer satisfaction be improved?,3,8772,,,"Satisfação
O produto é bom"
How can customer satisfaction be improved?,4,1817,,,Exemplo de fidelidade entre cliente e empresa
How can customer satisfaction be improved?,5,34644,,,Compromisso e respeito para com os clientes
How can customer satisfaction be improved?,6,32181,,,Parabéns pelo compromisso com os clientes
How can customer satisfaction be improved?,7,4688,,,"Satisfação com a compra
Muito satisfeito, produto de ótima qualidade e rapidez na entrega.recomendo sim essa loja, continue assim sempre melhorando cada vez mais."
How can customer satisfaction be improved?,8,3383,,,"Satisfeita
Satisfeita com o produto otima qualidade"
How can customer satisfaction be improved?,9,1993,,,"bom serviço
Satisfatória, é a palavra que define minha experiência de compra com essa loja. obrigado pelo atendimento. Pode atuar no mercado com esse nível de compromisso."
How can customer satisfaction be improved?,10,137,,,"10
Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?"
What customer expectations are not being met?,1,5694,,,"Atraso na entrega sem dar satisfação ao cliente, que com certeza escolheu o produto com cuidado e com as melhores expectativas. Falta de consideração."
What customer expectations are not being met?,2,37739,,,produto de acordo com as expectativas
What customer expectations are not being met?,3,6078,,,Corresponde as expectativas
What customer expectations are not being met?,4,1548,,,Produto não atendeu as expectativas
What customer expectations are not being met?,5,42117,,,"Atendimento das expectativas
Recomendo"
What customer expectations are not being met?,6,14997,,,Dentro das expectativas
What customer expectations are not being met?,7,41063,,,"Recomendo
produto dentro das expectativas."
What customer expectations are not being met?,8,27776,,,"Cliente super insatisfeit
Quero informar que acho uma falta de respeito com consumir final ficar aguardando algo que já foi pago e não entregue, favor resolver essa situação urgente ou estarei acionando minha ADVOGADA."
What customer expectations are not being met?,9,40131,,,Ate o presente momento nao recebi meu produto acho uma falta de respeito com o cliente
What customer expectations are not being met?,10,10584,,,"Entrega do produto
Falta de atenção e respeito com cliente"
Which issues affect satisfaction the most?,1,7618,,,Satisfação
Which issues affect satisfaction the most?,2,4138,,,Satisfação
Which issues affect satisfaction the most?,3,27753,,,satisfação
Which issues affect satisfaction the most?,4,26487,,,Satisfação garantida
Which issues affect satisfaction the most?,5,33373,,,"Recomendo
Satisfação"
Which issues affect satisfaction the most?,6,8772,,,"Satisfação
O produto é bom"
Which issues affect satisfaction the most?,7,22006,,,"Satisfacao
Excelente produto"
Which issues affect satisfaction the most?,8,1125,,,"Satisfeita
Satisfeita"
Which issues affect satisfaction the most?,9,7989,,,"Satisfeito
Satisfeito"
Which issues affect satisfaction the most?,10,621,,,"Satisfeito
Satisfeito"
What recurring themes appear in customer feedback?,1,42928,,olist_executive_playbook.pdf,"• Improve fulfillment performance.
Scenario 2: Customer Ratings Decline
• Analyze negative reviews using sentiment analysis.
• Identify recurring complaint themes.
• Audit seller performance.
• Improve customer support processes.
Scenario 3: Delivery Delays Increase
• Monitor on-time delivery rate.
• Identify logistics bottlenecks.
• Review regional delivery performance.
• Optimize fulfillment workflows.
Scenario 4: Customer Retention Drops
• Use RFM analysis to identify at-risk customers."
What recurring themes appear in customer feedback?,2,42721,,consumer_behavior.pdf,"who express high satisfaction through positive reviews are more likely to demonstrate loyalty 
through repeat purchases, thereby providing a measurable link between positive feedback and 
customer retention. This e-commerce platform provides a wide variety of product types, ranging 
from daily necessities like ‘food’, ‘drinks’, to big purchases that people only buy when needed, 
such as ‘computer_accessories’ or ‘console_games’. Therefore, it would be necessary to"
What recurring themes appear in customer feedback?,3,42699,,consumer_behavior.pdf,"regarding the relationship between positive customer reviews and e-loyalty, the fluctuation of 
seasonal sales during holiday periods, and the influence of geographic urbanization on product 
preferences. Utilizing regression analyses on 100,000 orders from 2016 to 2018, the results 
showed no significant relationship between positive review scores and repeat purchasing 
behavior, revealing an overwhelmingly transactional market where 99.4% of customers are one-"
What recurring themes appear in customer feedback?,4,42885,,ecommerce_analysis.pdf,"Fig 14. Sankey Diagram showing flow. Order-> Payment-> Delivery-> Review 
4.5 Sentiment Analysis 
User feedback is a key indicator of perceived service quality in e-commerce platforms. 
In the Olist dataset, text-based attributes such as reviews are processed using natural 
language processing techniques such as tokenization, stopword removal, and lemmati-
zation. Sentiment polarity scores are computed using lexicon-based methods such as"
What recurring themes appear in customer feedback?,5,42887,,ecommerce_analysis.pdf,"98 S. Gogineni et al.
When we look at sentiment scores across product types and delivery performance, there 
are clear trends. Visualizations showing word frequency indicate that negative word ""at-
raso"" is used often and is an indicator of customer displeasure due to delayed delivery. 
Customers consistently reference a negative experience based on logistics performance 
in low-star-rated reviews transactional to service level. Particularly, reviews with 1 star"
What recurring themes appear in customer feedback?,6,42718,,consumer_behavior.pdf,"timeframe. 
In the e-commerce ecosystem, online reviews are a critical form of user-generated 
content that serves as both direct feedback for the firm and a purchasing guide for other"
What recurring themes appear in customer feedback?,7,42719,,consumer_behavior.pdf,"6 
 
 
consumers. Research indicates that items with positive reviews have a higher likelihood of being 
purchased over those with no reviews available (Biswas et al., 2021). Recognizing this influence, 
businesses and platforms actively encourage customers to share their experiences and thoughts 
on products. This user-generated content is a cornerstone of modern digital marketing, building 
trust and providing social proof to businesses. Trust, which then influences a customer's decision"
What recurring themes appear in customer feedback?,8,42929,,olist_executive_playbook.pdf,"Scenario 4: Customer Retention Drops
• Use RFM analysis to identify at-risk customers.
• Launch loyalty programs.
• Offer personalized promotions.
• Track repeat purchase behavior.
Scenario 5: Forecast Shows Revenue Risk
• Review forecasting results.
• Identify declining categories.
• Prepare mitigation plans.
• Monitor KPIs weekly.
Executive KPIs"
What recurring themes appear in customer feedback?,9,22786,,,"recomendo
produto atendeu as expectativa"
What recurring themes appear in customer feedback?,10,35970,,,"Regular
O produto que recebi ñ foi igual ao anunciado. Já mandei email e já fiz reclamação no site. Estou aguardando resposta!"
Are customers satisfied with product quality?,1,8772,,,"Satisfação
O produto é bom"
Are customers satisfied with product quality?,2,41318,,,"Satisfeito
Conforme combinado, produto de qualidade."
Are customers satisfied with product quality?,3,2126,,,"Excelente
Satisfeita com o produto"
Are customers satisfied with product quality?,4,28385,,,Qualidade do produto deixa a desejar
Are customers satisfied with product quality?,5,17219,,,Recomendo produtos. Toma qualidade.
Are customers satisfied with product quality?,6,39697,,,"Satisfação com o produto.
Entrega dentro do prazo, produto de qualidade."
Are customers satisfied with product quality?,7,21776,,,Satisfeita com o produto é loja
Are customers satisfied with product quality?,8,15317,,,Muito Satisfeita com a compra e com o produto
Are customers satisfied with product quality?,9,35824,,,"Produto de qualidade!
Compromisso com o cliente e qualidade no produto resumem essa compra."
Are customers satisfied with product quality?,10,3383,,,"Satisfeita
Satisfeita com o produto otima qualidade"
How do delivery experiences influence reviews?,1,42719,,consumer_behavior.pdf,"6 
 
 
consumers. Research indicates that items with positive reviews have a higher likelihood of being 
purchased over those with no reviews available (Biswas et al., 2021). Recognizing this influence, 
businesses and platforms actively encourage customers to share their experiences and thoughts 
on products. This user-generated content is a cornerstone of modern digital marketing, building 
trust and providing social proof to businesses. Trust, which then influences a customer's decision"
How do delivery experiences influence reviews?,2,42841,,ecommerce_analysis.pdf,"iables. Delivery performance is assessed by three common metrics, including delivery 
delay (actual delivery date – estimated delivery date), on-time delivery ratio and 95th 
percentile of delivery delay. Reviews are preprocessed and transformed into set of fea-
tures (sentiment indicators) using natural language processing techniques (tokenizing, 
removing stop words, lemmatizing), for downstream sentiment analysis. Geospatial at-"
How do delivery experiences influence reviews?,3,42888,,ecommerce_analysis.pdf,"in low-star-rated reviews transactional to service level. Particularly, reviews with 1 star 
or 2 star ratings mention poor delivery service. High start ratings are associated with 
good product quality and on-time delivery. 
Pearson Correlation (Sentiment vs. Review Score) 
S i = sentiment polarity score for review i, Ri= numeric review rating. 
 Si=
1
m∑
s(wj)
m
j=1
 r=
∑(Si−S̅)(Ri−R̅)
√∑(Si−S̅)2 ∑(Ri−R̅)2 (29)"
How do delivery experiences influence reviews?,4,42928,,olist_executive_playbook.pdf,"• Improve fulfillment performance.
Scenario 2: Customer Ratings Decline
• Analyze negative reviews using sentiment analysis.
• Identify recurring complaint themes.
• Audit seller performance.
• Improve customer support processes.
Scenario 3: Delivery Delays Increase
• Monitor on-time delivery rate.
• Identify logistics bottlenecks.
• Review regional delivery performance.
• Optimize fulfillment workflows.
Scenario 4: Customer Retention Drops
• Use RFM analysis to identify at-risk customers."
How do delivery experiences influence reviews?,5,5694,,,"Atraso na entrega sem dar satisfação ao cliente, que com certeza escolheu o produto com cuidado e com as melhores expectativas. Falta de consideração."
How do delivery experiences influence reviews?,6,41765,,,mas entrega se deu um destaque pela eficiência do produto quanto a questão de preço ai deixou a desejar mas recomendo sem duvida
How do delivery experiences influence reviews?,7,37292,,,"*****
satisfação pela compra e entrega"
How do delivery experiences influence reviews?,8,36338,,,"Avaliação de entrega
Produto entregue até antes do prazo. Em prefeitas condições. Super recomendo."
How do delivery experiences influence reviews?,9,12265,,,"Atendimento
Muito bom desde a compra, entrega, feedback muito bom.
Agradecido"
How do delivery experiences influence reviews?,10,718,,,"Troca / devolução
a experiência de compra on-line e a entrega foram boas, porém o produto não atendeu às expectativas e estou tendo dificuldades com a troca /devolução."
What customer pain points should executives prioritize?,1,22586,,,"super recomendo
responsabilidade dom o cliente...parabéns."
What customer pain points should executives prioritize?,2,27620,,,"Totalmente responsáveis, produto entregue, informação dada ao cliente, preocupação com o cliente. Recomendo."
What customer pain points should executives prioritize?,3,5998,,,"recomendado
satisfeita pela presteza no atendimento"
What customer pain points should executives prioritize?,4,174,,,"recomendo
trabalho com profissionalismo das lojas lannister. indico com certeza"
What customer pain points should executives prioritize?,5,6363,,,"Cliente assíduo poderia ter vantagem, como desconto"
What customer pain points should executives prioritize?,6,10460,,,Recomendaria a loja por sua rapidez e preocupação com o cliente.
What customer pain points should executives prioritize?,7,18396,,,"talvez recomendaria
Frustração"
What customer pain points should executives prioritize?,8,34644,,,Compromisso e respeito para com os clientes
What customer pain points should executives prioritize?,9,39342,,,"Recomendamos NEGOCIAR com esta Empresa ""targaryen"""
What customer pain points should executives prioritize?,10,32224,,,"Talvez recomendaria
A empresa deveria responder aos e-mail dos cliente 
Deveria revê essa questão, porque empresa que se comunica com seus cliente passa mais credibilidade e demostra que esta atento ao seu cliente."
What are the most common delivery issues?,1,32220,,,Atraso na entrega
What are the most common delivery issues?,2,23668,,,Atraso na entrega
What are the most common delivery issues?,3,20675,,,Atraso na entrega
What are the most common delivery issues?,4,5267,,,Atraso na entrega
What are the most common delivery issues?,5,7578,,,Demora a entrega
What are the most common delivery issues?,6,41704,,,Demora na entrega
What are the most common delivery issues?,7,20575,,,Demora na entrega
What are the most common delivery issues?,8,8871,,,Demora na entrega
What are the most common delivery issues?,9,3076,,,Demora na entrega
What are the most common delivery issues?,10,12587,,,"sem comentarios, muito confusa a informação sobre entrega"
Why are deliveries delayed?,1,3730,,,A entrega atrasou
Why are deliveries delayed?,2,3299,,,demora na entrega
Why are deliveries delayed?,3,23219,,,Muita demora na entrega
Why are deliveries delayed?,4,18938,,,Muita demora na entrega
Why are deliveries delayed?,5,9064,,,Muita demora na entrega
Why are deliveries delayed?,6,5578,,,Muita demora na entrega
Why are deliveries delayed?,7,37488,,,muita demora na entrega
Why are deliveries delayed?,8,31093,,,Ultimamente estão atrasando muito as entregas
Why are deliveries delayed?,9,9769,,,demora na entrega (ainda nao chegou fora do prazo)
Why are deliveries delayed?,10,30674,,,O atraso na entrega prejudicou a obra
How does delivery performance affect customer satisfaction?,1,42930,,olist_executive_playbook.pdf,"• Revenue Growth
• Order Volume
• Customer Satisfaction
• Average Review Score
• On-Time Delivery Rate
• Customer Retention Rate
• Forecast Accuracy"
How does delivery performance affect customer satisfaction?,2,8821,,,"Ótima
Satisfação ao cliente"
How does delivery performance affect customer satisfaction?,3,37292,,,"*****
satisfação pela compra e entrega"
How does delivery performance affect customer satisfaction?,4,27795,,,Além da qualidade do produto e eficiência na logistica da entrega
How does delivery performance affect customer satisfaction?,5,2544,,,Satisfeito com a entrega... atendimento e produto
How does delivery performance affect customer satisfaction?,6,41765,,,mas entrega se deu um destaque pela eficiência do produto quanto a questão de preço ai deixou a desejar mas recomendo sem duvida
How does delivery performance affect customer satisfaction?,7,12058,,,Satisfeita com produto e entrega no prazo
How does delivery performance affect customer satisfaction?,8,9123,,,"Depender dos correios hoje em dia coloca a satisfação do cliente com o fornecedor em risco, pois os correios, não são precisos em seus serviços."
How does delivery performance affect customer satisfaction?,9,33595,,,"Super satisfeita com a compra feita, a entrega e o suporte e atenção com o cliente."
How does delivery performance affect customer satisfaction?,10,32421,,,"No caso dos correios, como empresa para entrega, eu estou satisfeito, mais acho que a empresa deveria rever seus fornecedores de serviços, principalmente de empresas de entrega de mercadoria. só acho."
What logistics improvements should the company make?,1,31271,,,Boa logística
What logistics improvements should the company make?,2,27795,,,Além da qualidade do produto e eficiência na logistica da entrega
What logistics improvements should the company make?,3,36779,,,Acredito que se as entregas ocorressem através de empresas de logística privadas chegariam com mais agilidade.
What logistics improvements should the company make?,4,22282,,,"Excelente
É uma logística dinâmica que cumpre com suas responsabilidades"
What logistics improvements should the company make?,5,28517,,,"Só precisam melhorar a logística de entrega, para que a encomenda possa ser entregue mais rápido."
What logistics improvements should the company make?,6,38969,,,muito boa a logistica da empresa produto dentro das caracteristicas
What logistics improvements should the company make?,7,13863,,,"A versatilidade e a logística são componentes da equipe do baratheon.

 Muito bom."
What logistics improvements should the company make?,8,3430,,,"super recomendo
Ótimo atendimento em todos os níveis: Rastreamento, passo a passo da compra desde a confirmação, logística de entrega pelo site da lannister e correio, entrega antes do prazo, logística perfeita."
What logistics improvements should the company make?,9,29829,,,Solicito melhoras no prazo de entrega dos produtos.
What logistics improvements should the company make?,10,16888,,,A lannister precisa melhorar a qualidade da entrega
Which shipping problems occur most frequently?,1,37899,,,Houve problema no transporte e em consequência disso um grande atraso. Mas foi a primeira vez que ocorreu. Os produtos sempre são entregues antes do prazo.
Which shipping problems occur most frequently?,2,39500,,,TERRIVEL ESTE PROBLEMA DA ENTREGA
Which shipping problems occur most frequently?,3,15542,,,Produto entregue se problemas obrigado
Which shipping problems occur most frequently?,4,7342,,,"entrega
Favor procurar utra transportadora...Correios sem qualidade."
Which shipping problems occur most frequently?,5,31847,,,entregas via transportadora muito demorada
Which shipping problems occur most frequently?,6,34423,,,muitos desencontros nas entregas de produtos
Which shipping problems occur most frequently?,7,27795,,,Além da qualidade do produto e eficiência na logistica da entrega
Which shipping problems occur most frequently?,8,22092,,,A empreza e otima pessimo e a transportadora correios que retem o produto 4 dias parado sem rastreio
Which shipping problems occur most frequently?,9,36634,,,A demora pra entrega é maior que de outros produtos e isso é desanimador
Which shipping problems occur most frequently?,10,42191,,,"Produto nao entregue conforme a previsão de entrega. 
Enviado pelos Correios, onde sabemos que o serviço prestado é precário. 
Deveriam reavaliar o tipo de transportadora a enviar."
Are delivery promises being fulfilled?,1,6453,,,Aparentemente promete
Are delivery promises being fulfilled?,2,8071,,,Entrega o que promete
Are delivery promises being fulfilled?,3,40226,,,Produto de acordo com o prometido.
Are delivery promises being fulfilled?,4,34335,,,Cumpre o que promete
Are delivery promises being fulfilled?,5,29951,,,Cumpre o que promete
Are delivery promises being fulfilled?,6,9311,,,Cumpre o que promete
Are delivery promises being fulfilled?,7,37144,,,produto entregue conforme o prometido
Are delivery promises being fulfilled?,8,35065,,,Cumpre com oque promete
Are delivery promises being fulfilled?,9,10303,,,promessa cumprida entrega no prazo muinto bom.
Are delivery promises being fulfilled?,10,38144,,,"Falta mais compromisso
Espero mais dedicação nas proximas entregas"
What operational bottlenecks affect delivery?,1,27795,,,Além da qualidade do produto e eficiência na logistica da entrega
What operational bottlenecks affect delivery?,2,1612,,,"EFICIENCIA
Despacho e entrega rápida"
What operational bottlenecks affect delivery?,3,23219,,,Muita demora na entrega
What operational bottlenecks affect delivery?,4,18938,,,Muita demora na entrega
What operational bottlenecks affect delivery?,5,9064,,,Muita demora na entrega
What operational bottlenecks affect delivery?,6,5578,,,Muita demora na entrega
What operational bottlenecks affect delivery?,7,38129,,,Muita demora na entrega.
What operational bottlenecks affect delivery?,8,22563,,,Muita demora na entrega.
What operational bottlenecks affect delivery?,9,20303,,,Muita demora na entrega.
What operational bottlenecks affect delivery?,10,4972,,,Muita demora na entrega.
How can late deliveries be reduced?,1,41374,,,demora com a entrega
How can late deliveries be reduced?,2,19548,,,Produto com entrega atrasada
How can late deliveries be reduced?,3,13557,,,demora na entrega .
How can late deliveries be reduced?,4,32390,,,Produto com o prazo de entrega atrasado
How can late deliveries be reduced?,5,11772,,,O tempo de entrega poderia ser mais curto.
How can late deliveries be reduced?,6,38437,,,Pessimo muita demora na entrega
How can late deliveries be reduced?,7,31093,,,Ultimamente estão atrasando muito as entregas
How can late deliveries be reduced?,8,30674,,,O atraso na entrega prejudicou a obra
How can late deliveries be reduced?,9,39142,,,"demora na entrega
demora na entrega"
How can late deliveries be reduced?,10,4928,,,A entrega esta atrasada.
What evidence suggests logistics problems?,1,42884,,ecommerce_analysis.pdf,"t=
Dp1̅̅̅̅̅̅−Dp2̅̅̅̅̅̅
√
sp1
2
Np1+
sp2
2
Np2
 (28) 
sp1
2 , sp2
2 = sample variances of delays for two groups 
 Np1, Np2= sample sizes 
These evaluations show whether logistics performance differs across payment types. 
Understanding the relationship between financial behavior and operational perfor-
mance is crucial for improving e-commerce logistics operations. 
 
 Fig 14. Sankey Diagram showing flow. Order-> Payment-> Delivery-> Review 
4.5 Sentiment Analysis"
What evidence suggests logistics problems?,2,42872,,ecommerce_analysis.pdf,"bouring states exhibit similar delivery delays. 
4.4 Logistics & Supply Chain Analytics 
The Olist dataset provides an excellent opportunity for assessing end-to-end logistics 
performance. The timestamps of each purchase, approval, shipping, and delivery event 
are available in the dataset. By utilising this information, we can create different supply 
chain KPIs such as processing time, shipping lead-time, and over all fulfilment dura-"
What evidence suggests logistics problems?,3,31271,,,Boa logística
What evidence suggests logistics problems?,4,15542,,,Produto entregue se problemas obrigado
What evidence suggests logistics problems?,5,7342,,,"entrega
Favor procurar utra transportadora...Correios sem qualidade."
What evidence suggests logistics problems?,6,31847,,,entregas via transportadora muito demorada
What evidence suggests logistics problems?,7,34423,,,muitos desencontros nas entregas de produtos
What evidence suggests logistics problems?,8,42191,,,"Produto nao entregue conforme a previsão de entrega. 
Enviado pelos Correios, onde sabemos que o serviço prestado é precário. 
Deveriam reavaliar o tipo de transportadora a enviar."
What evidence suggests logistics problems?,9,40043,,,Pagar caro pelo frete e a empresa escolher os Correios como forma de transporte é certamente uma política que deve ser revista. Os Correios tem histórico negativo na entrega de e-commerce.
What evidence suggests logistics problems?,10,27617,,,"Caixa veio amassada dificuldade paarmazenamento pós i
Uso."
Which delivery issues have the greatest business impact?,1,20397,,,Otima compra e entrega.
Which delivery issues have the greatest business impact?,2,27795,,,Além da qualidade do produto e eficiência na logistica da entrega
Which delivery issues have the greatest business impact?,3,10173,,,Produto de qualidade e loja séria na entrega.
Which delivery issues have the greatest business impact?,4,6290,,,"Prazo cumprido, 
qualidade presente
entrega o que vende"
Which delivery issues have the greatest business impact?,5,27188,,,"Nota dez
Ótima emoresa coerente com o serviço de entrega e também com os produtos"
Which delivery issues have the greatest business impact?,6,11027,,,"Produto de qualidade, entrega como previsto."
Which delivery issues have the greatest business impact?,7,15168,,,importante no envio do produto dentro do prazo
Which delivery issues have the greatest business impact?,8,36867,,,"Atendimento, produto e entrega perfeitos"
Which delivery issues have the greatest business impact?,9,23214,,,Tudo certo com a entrega e com a mercadoria
Which delivery issues have the greatest business impact?,10,32421,,,"No caso dos correios, como empresa para entrega, eu estou satisfeito, mais acho que a empresa deveria rever seus fornecedores de serviços, principalmente de empresas de entrega de mercadoria. só acho."
What quality issues do customers report?,1,42928,,olist_executive_playbook.pdf,"• Improve fulfillment performance.
Scenario 2: Customer Ratings Decline
• Analyze negative reviews using sentiment analysis.
• Identify recurring complaint themes.
• Audit seller performance.
• Improve customer support processes.
Scenario 3: Delivery Delays Increase
• Monitor on-time delivery rate.
• Identify logistics bottlenecks.
• Review regional delivery performance.
• Optimize fulfillment workflows.
Scenario 4: Customer Retention Drops
• Use RFM analysis to identify at-risk customers."
What quality issues do customers report?,2,42719,,consumer_behavior.pdf,"6 
 
 
consumers. Research indicates that items with positive reviews have a higher likelihood of being 
purchased over those with no reviews available (Biswas et al., 2021). Recognizing this influence, 
businesses and platforms actively encourage customers to share their experiences and thoughts 
on products. This user-generated content is a cornerstone of modern digital marketing, building 
trust and providing social proof to businesses. Trust, which then influences a customer's decision"
What quality issues do customers report?,3,42930,,olist_executive_playbook.pdf,"• Revenue Growth
• Order Volume
• Customer Satisfaction
• Average Review Score
• On-Time Delivery Rate
• Customer Retention Rate
• Forecast Accuracy"
What quality issues do customers report?,4,27620,,,"Totalmente responsáveis, produto entregue, informação dada ao cliente, preocupação com o cliente. Recomendo."
What quality issues do customers report?,5,27776,,,"Cliente super insatisfeit
Quero informar que acho uma falta de respeito com consumir final ficar aguardando algo que já foi pago e não entregue, favor resolver essa situação urgente ou estarei acionando minha ADVOGADA."
What quality issues do customers report?,6,10173,,,Produto de qualidade e loja séria na entrega.
What quality issues do customers report?,7,6218,,,"Excelente atendimento ao
Interesse em agradar o cliente e ótima mercadoria"
What quality issues do customers report?,8,34644,,,Compromisso e respeito para com os clientes
What quality issues do customers report?,9,28413,,,otimo produto e qualidade e atendimento top
What quality issues do customers report?,10,35824,,,"Produto de qualidade!
Compromisso com o cliente e qualidade no produto resumem essa compra."
Which products receive the most complaints?,1,24602,,,"reclamação
produto incorreto"
Which products receive the most complaints?,2,34423,,,muitos desencontros nas entregas de produtos
Which products receive the most complaints?,3,5076,,,"Avaliação
Loja recomendada. Produto de péssima qualidade."
Which products receive the most complaints?,4,5848,,,Produtos de baixa qualidade.
Which products receive the most complaints?,5,22137,,,"recomendo
produto chegou MUITO RÁPIDO, de qualidade, recomendo"
Which products receive the most complaints?,6,24952,,,"recomendo
melhor custo beneficio de produtos semelhantes disponiveis no mercado"
